id,title,release_year,rating,duration
468,You Will Meet a Tall Dark Stranger,2010,6.3,98
469,The Hateful Eight,2015,7.8,187
470,Hedwig and the Angry Inch,2001,7.8,95
471,Battle Royale,2000,7.7,114
472,Bad Lieutenant: Port of Call New Orleans,2009,6.7,122
473,Night Will Fall,2014,8.0,75
474,The Lobster,2015,7.1,119
475,Best in Show,2000,7.5,90
476,About Elly,2009,8.1,119
477,I’m Going Home,2001,7.1,90
478,Good Bye Lenin!,2003,7.7,121
479,The Baader Meinhof Complex,2008,7.4,150
480,Django Unchained,2012,8.4,165
481,Alpha Dog,2006,6.9,122
482,Young Adult,2011,6.3,94
483,Tropic Thunder,2008,7.0,107
484,Dirty Pretty Things,2002,7.4,97
485,The Imposter,2012,7.5,99
486,A Girl Walks Home Alone at Night,2014,7.0,101
487,Bone Tomahawk,2015,7.1,132
488,The Queen,2006,7.3,103
489,Climates,2006,7.3,101
490,Poetry,2010,7.8,139
491,Beyond the Hills,2012,7.6,150
492,All Divided Selves,2011,6.6,93
493,Oasis,2002,8.0,133
494,Bad Education,2004,7.5,106
495,The House of Mirth,2000,7.1,135
496,Locke,2013,7.1,85
497,Sin Nombre,2009,7.6,96
498,Babel,2006,7.5,143
499,The Sky Trembles and the Earth Is Afraid and the Two Eyes Are Not Brothers,2015,6.5,95
500,From What Is Before,2014,8.0,338
501,Lost and Beautiful,2015,6.5,87
502,The Captive,2000,5.9,118
503,The Yards,2000,6.4,115
504,Shara,2003,7.7,100
505,Twixt,2011,4.8,88
506,To Die Like a Man,2009,5.9,134
507,The Deep Blue Sea,2011,6.3,98
508,Sita Sings the Blues,2008,7.7,82
509,Take This Waltz,2011,6.6,116
510,Bend It Like Beckham,2002,6.7,112
511,The Namesake,2006,7.6,122
512,Paradise Now,2005,7.5,90
513,Revolutionary Road,2008,7.3,119
514,The Beat That My Heart Skipped,2005,7.3,108
515,The Edge of Heaven,2007,7.9,122
516,Incendies,2010,8.2,131
517,Elena,2011,7.3,109
518,Master and Commander: The Far Side of the World,2003,7.4,138
519,The Prestige,2006,8.5,130
520,Song of the Sea,2014,8.1,93
521,"Monsters, Inc.",2001,8.1,92
522,The Arbor,2010,7.2,94
523,The Clock,2010,9.0,1440
524,"Goodbye, Dragon Inn",2003,7.1,82
525,Monster,2003,7.3,109
526,Caramel,2007,7.2,95
527,The Tiger and the Snow,2005,7.2,110
528,Taxi Tehran,2015,7.4,82
529,A Borrowed Identity,2014,7.3,104
530,When I Saw You,2012,6.6,98
531,99 Homes,2014,7.1,112
532,Human,2015,8.7,190
533,Drive,2011,7.8,100
534,Alexandre Sokurov,2015,7.8,60
535,Infernal Affairs,2002,8.1,101
536,Shrek,2001,7.9,90
537,The Time That Remains,2009,7.1,109
538,The Box of Life,2002,6.8,112
539,Men at Work,2006,6.7,75
540,My Heart Beats Only for Her,2009,,86
541,Arabian Nights: Volume 1 – The Restless One,2015,7.1,125
542,"I Travel Because I Have To, I Come Back Because I Love You",2009,7.2,75
543,Leviathan,2012,6.5,87
544,Three Times,2005,7.0,120
545,The Departed,2006,8.5,151
546,Beginners,2010,7.2,105
547,Gett: The Trial of Viviane Amselem,2014,7.7,115
548,Knight of Cups,2015,5.7,118
549,Godzilla,2014,6.4,123
550,Girlhood,2014,6.9,113
551,Team America: World Police,2004,7.2,98
552,Still Walking,2008,8.0,115
553,Step Brothers,2008,6.9,98
554,Bright Star,2009,7.0,119
555,Mr Turner,2014,6.8,150
556,The Lord of the Rings: The Return of the King,2003,8.9,201
557,Kill List,2011,6.3,95
558,Kiss Kiss Bang Bang,2005,7.6,103
559,Bowling for Columbine,2002,8.0,120
560,Samson & Delilah,2009,7.1,101
561,The Man Without A Past,2002,7.7,97
562,Secret Things,2002,6.1,115
563,La Ciénaga,2001,7.0,103
564,In the Family,2011,7.2,169
565,Gerry,2002,6.2,103
566,Songs from the Second Floor,2000,7.7,98
567,Journey to the West,2014,6.9,56
568,The 3 Rooms of Melancholia,2004,7.3,106
569,Japon,2002,6.9,122
570,Neighboring Sounds,2012,7.1,131
571,The Band’s Visit,2007,7.6,87
572,Time Out,2001,7.4,134
573,Burning Bush,2013,8.0,231
574,Barbara,2012,7.2,105
575,A Tale of Two Sisters,2003,7.3,115
576,Meek's Cutoff,2010,6.6,104
577,Captain America: Winter Soldier,2014,7.8,136
578,Star Wars: Episode VII – The Force Awakens,2015,7.8,
579,Love Actually,2003,7.7,135
580,Chicago,2002,7.2,113
581,High Fidelity,2000,7.5,113
582,Four Lions,2010,7.3,97
583,Gangs of Wasseypur,2012,8.3,320
584,This Is England,2006,7.7,101
585,The Skin I Live In,2011,7.6,120
586,Once,2007,7.9,85
587,Blissfully Yours,2002,7.1,125
588,Be Kind Rewind,2008,6.4,102
589,Frontier of Dawn,2008,6.6,106
590,I Don't Want to Sleep Alone,2006,7.0,115
591,Kings and Queen,2004,7.1,
592,The Hours,2002,7.6,110
593,The Sun Also Rises,2007,7.1,116
594,"Lust, Caution",2007,7.6,157
